house,sqft,beds,baths,heat,style,garage,basement,age,fire,price,school
79,2551,4,3,0,Ranch,2,1,12,1,351280,Plum Ridge
80,1894,3,3,1,Ranch,2,1,12,1,333480,Plum Ridge
81,2333,3,3,0,Ranch,2,1,7,1,350580,Apple Valley
82,2131,4,3,0,Ranch,2,1,13,0,340740,Plum Ridge
83,2296,4,3,1,Ranch,2,1,19,1,414930,Apple Valley
84,2327,3,3,0,Ranch,2,1,11,0,393450,Apple Valley
85,2550,3,3,0,Ranch,2,0,17,1,352360,Apple Valley
86,2382,3,3,0,Ranch,2,1,9,1,405480,Apple Valley
87,2804,5,3,0,Ranch,2,1,9,0,409520,Apple Valley
88,2185,4,3,1,Ranch,2,1,11,1,363950,Apple Valley
89,2309,3,3,0,Ranch,2,1,7,1,373590,Plum Ridge
90,2441,4,4,1,Ranch,2,1,9,1,404360,Apple Valley
91,2389,3,3,0,Ranch,2,1,5,1,405590,Apple Valley
92,2208,5,4,0,Ranch,2,1,8,1,356700,Apple Valley
93,2497,6,4,0,Ranch,2,1,21,1,402730,Apple Valley
94,2307,4,3,1,Ranch,2,1,11,1,424240,Apple Valley
95,2428,4,3,0,Ranch,2,1,20,1,417390,Apple Valley
96,2081,4,3,0,Ranch,2,1,19,1,388570,Apple Valley
97,2386,3,3,0,Ranch,3,1,6,1,451790,Apple Valley
98,2605,3,3,0,Ranch,3,1,7,1,459700,Apple Valley
99,2423,3,3,0,Ranch,3,1,10,1,430330,Apple Valley
100,2588,4,3,0,Ranch,2,1,6,1,433960,Plum Ridge
101,2600,5,3,0,Ranch,2,1,12,1,460560,Apple Valley
102,2476,4,3,1,Ranch,2,1,5,1,429830,Plum Ridge
103,2320,3,3,0,Ranch,3,1,2,1,442390,Apple Valley
104,2488,4,3,0,Ranch,2,1,9,1,503950,Apple Valley
105,2662,4,3,0,Ranch,2,1,6,1,490920,Apple Valley
106,2847,4,3,1,Ranch,2,1,6,1,565120,Apple Valley
107,2579,4,3,0,Ranch,2,1,7,1,485030,Apple Valley
108,3222,4,3,0,Ranch,3,1,1,1,675030,Apple Valley
